asset,price_opened,price_closed,transdate,Daily Rt %,Daily STD %,Annual STD %
VN30F1M,1341.8,1342.0,30/10/2024,0.19,0.56,8.89
VN30F1M,1334.7,1339.4,29/10/2024,0.56,0.57,9.12
VN30F1M,1329.5,1332.0,28/10/2024,0.36,0.58,9.24
VN30F1M,1338.5,1327.2,25/10/2024,-0.81,0.58,9.23
VN30F1M,1352.5,1338.0,24/10/2024,-1.18,0.59,9.37
VN30F1M,1352.4,1354.0,23/10/2024,0.13,0.53,8.45
VN30F1M,1360.0,1352.2,22/10/2024,-0.86,0.54,8.52
VN30F1M,1364.0,1363.9,21/10/2024,-0.15,0.6,9.48
VN30F1M,1374.7,1365.9,18/10/2024,0.56,0.64,10.14
VN30F1M,1358.0,1358.3,17/10/2024,0.27,0.64,10.18
VN30F1M,1355.1,1354.6,16/10/2024,-0.25,0.64,10.19
VN30F1M,1369.7,1358.0,15/10/2024,-0.07,0.64,10.13
VN30F1M,1375.6,1359.0,14/10/2024,-0.56,0.68,10.84
VN30F1M,1364.5,1366.6,11/10/2024,0.03,0.67,10.62
VN30F1M,1363.3,1366.2,10/10/2024,0.58,0.67,10.61
VN30F1M,1344.1,1358.3,9/10/2024,1.24,0.68,10.72
VN30F1M,1340.1,1341.7,8/10/2024,0.13,0.7,11.14
VN30F1M,1347.5,1340.0,7/10/2024,-0.22,0.71,11.21
VN30F1M,1351.9,1343.0,4/10/2024,-0.44,0.71,11.22
VN30F1M,1360.0,1349.0,3/10/2024,-0.6,0.7,11.09
VN30F1M,1353.3,1357.1,2/10/2024,-0.21,0.69,10.89
VN30F1M,1361.3,1360.0,1/10/2024,0.22,0.68,10.84
VN30F1M,1352.6,1357.0,30/09/2024,0.11,0.68,10.83
VN30F1M,1357.7,1355.5,27/09/2024,-0.07,0.68,10.83
VN30F1M,1346.0,1356.4,26/09/2024,0.92,0.69,11.01
VN30F1M,1335.6,1344.0,25/09/2024,0.67,0.68,10.74
VN30F1M,1326.0,1335.0,24/09/2024,0.72,0.68,10.8
VN30F1M,1331.0,1325.5,23/09/2024,-0.34,0.73,11.62
VN30F1M,1329.8,1330.0,20/09/2024,0.99,0.73,11.52
VN30F1M,1314.0,1316.9,19/09/2024,0.38,0.71,11.21
VN30F1M,1305.0,1311.9,18/09/2024,0.47,0.71,11.25
VN30F1M,1283.0,1305.8,17/09/2024,1.86,0.71,11.24
VN30F1M,1297.0,1282.0,16/09/2024,-0.94,0.72,11.47
VN30F1M,1300.0,1294.1,13/09/2024,-0.26,0.71,11.34
VN30F1M,1300.0,1297.5,12/9/2024,0.35,0.71,11.27
VN30F1M,1294.5,1293.0,11/9/2024,-0.09,0.75,11.88
VN30F1M,1310.5,1294.1,10/9/2024,-1.04,1.02,16.25
VN30F1M,1299.1,1307.7,9/9/2024,-0.1,1.0,15.84
VN30F1M,1307.6,1309.0,6/9/2024,0.1,1.1,17.51
VN30F1M,1316.1,1307.7,5/9/2024,-0.48,1.12,17.74
VN30F1M,1320.8,1314.0,4/9/2024,-1.4,1.11,17.68
VN30F1M,1328.9,1332.7,30/08/2024,0.44,1.07,16.98
VN30F1M,1321.1,1326.8,29/08/2024,0.36,1.07,17.03
VN30F1M,1320.6,1322.1,28/08/2024,0.02,1.08,17.16
VN30F1M,1316.9,1321.8,27/08/2024,0.36,1.08,17.17
VN30F1M,1320.8,1317.0,26/08/2024,0.13,1.11,17.66
VN30F1M,1311.6,1315.3,23/08/2024,0.08,1.11,17.66
VN30F1M,1312.7,1314.2,22/08/2024,0.14,1.11,17.67
VN30F1M,1300.8,1312.4,21/08/2024,0.8,1.12,17.73
VN30F1M,1301.6,1302.0,20/08/2024,0.31,1.11,17.55
VN30F1M,1289.0,1298.0,19/08/2024,0.78,1.11,17.55
VN30F1M,1271.6,1288.0,16/08/2024,1.6,1.09,17.36
VN30F1M,1268.0,1267.7,15/08/2024,-0.02,1.04,16.54
VN30F1M,1270.9,1268.0,14/08/2024,0.08,1.04,16.55
VN30F1M,1269.0,1267.0,13/08/2024,-0.24,1.05,16.67
VN30F1M,1262.5,1270.0,12/8/2024,0.4,1.06,16.79
VN30F1M,1249.0,1264.9,9/8/2024,2.0,1.05,16.7
VN30F1M,1248.3,1240.1,8/8/2024,-0.79,0.97,15.33
VN30F1M,1252.2,1250.0,7/8/2024,0.03,0.96,15.24
VN30F1M,1244.8,1249.6,6/8/2024,1.35,0.98,15.62
VN30F1M,1257.0,1233.0,5/8/2024,-3.3,0.95,15.16
VN30F1M,1265.3,1275.1,2/8/2024,0.01,0.72,11.38
VN30F1M,1306.0,1275.0,1/8/2024,-2.25,0.75,11.95
VN30F1M,1292.0,1304.3,31/07/2024,0.92,0.6,9.47
VN30F1M,1286.1,1292.4,30/07/2024,0.36,0.57,9.03
VN30F1M,1289.9,1287.8,29/07/2024,0.22,0.57,8.99
VN30F1M,1278.6,1285.0,26/07/2024,0.66,0.72,11.5
VN30F1M,1275.2,1276.6,25/07/2024,-0.54,0.71,11.22
VN30F1M,1283.3,1283.5,24/07/2024,-0.05,0.71,11.32
VN30F1M,1301.4,1284.2,23/07/2024,-1.22,0.73,11.57
VN30F1M,1291.3,1300.0,22/07/2024,0.22,0.69,10.94
VN30F1M,1304.5,1297.1,19/07/2024,-0.03,0.7,11.1
VN30F1M,1303.2,1297.5,18/07/2024,-0.44,0.75,11.83
VN30F1M,1309.0,1303.2,17/07/2024,0.04,0.75,11.86
VN30F1M,1301.5,1302.7,16/07/2024,0.28,0.85,13.53
VN30F1M,1302.0,1299.0,15/07/2024,-0.08,0.85,13.57
VN30F1M,1304.9,1300.0,12/7/2024,-0.44,0.86,13.59
VN30F1M,1316.0,1305.7,11/7/2024,-0.33,0.86,13.71
VN30F1M,1318.9,1310.0,10/7/2024,-0.8,0.86,13.68
VN30F1M,1316.1,1320.5,9/7/2024,0.49,0.84,13.4
VN30F1M,1317.0,1314.0,8/7/2024,-0.17,0.84,13.34
VN30F1M,1308.5,1316.3,5/7/2024,0.59,0.9,14.27
VN30F1M,1307.0,1308.6,4/7/2024,0.12,0.89,14.2
VN30F1M,1297.1,1307.0,3/7/2024,0.91,0.91,14.38
VN30F1M,1284.7,1295.2,2/7/2024,0.79,0.92,14.64
VN30F1M,1277.2,1285.0,1/7/2024,0.84,0.94,14.99
VN30F1M,1291.6,1274.3,28/06/2024,-1.14,0.93,14.76
